Match,Team_Innings,Batting_Pos,Batsman,Dismissal,Runs,Balls,4s,6s,SR
Namibia vs Sri Lanka,Namibia,1,Michael van Lingen ,c Pramod Madushan b Chameera,3,6,0,0,50.00
Namibia vs Sri Lanka,Namibia,2,Divan la Cock ,c Shanaka b Pramod Madushan,9,9,1,0,100.00
Namibia vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton ,c †Mendis b Karunaratne,20,12,1,2,166.66
Namibia vs Sri Lanka,Namibia,4,Stephan Baard ,c DM de Silva b Pramod Madushan,26,24,2,0,108.33
Namibia vs Sri Lanka,Namibia,5,Gerhard Erasmus (c),c Gunathilaka b PWH de Silva,20,24,0,0,83.33
Namibia vs Sri Lanka,Namibia,6,Jan Frylinck ,run out (Gunathilaka/†Mendis),44,28,4,0,157.14
Namibia vs Sri Lanka,Namibia,7,David Wiese ,c †Mendis b Theekshana,0,1,0,0,0.00
Namibia vs Sri Lanka,Namibia,8,JJ Smit ,not out ,31,16,2,2,193.75
Namibia vs Sri Lanka,Sri Lanka,1,Pathum Nissanka ,c Smit b Shikongo,9,10,1,0,90.00
Namibia vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,c †Green b Wiese,6,6,0,0,100.00
Namibia vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva ,c Shikongo b Frylinck,12,11,1,0,109.09
Namibia vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka ,c †Green b Shikongo,0,1,0,0,0.00
Namibia vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa ,c la Cock b Scholtz,20,21,2,0,95.23
Namibia vs Sri Lanka,Sri Lanka,6,Dasun Shanaka (c),c †Green b Frylinck,29,23,2,1,126.08
Namibia vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva ,c Loftie-Eaton b Scholtz,4,8,0,0,50.00
Namibia vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne ,c Baard b Smit,5,8,0,0,62.50
Namibia vs Sri Lanka,Sri Lanka,9,Pramod Madushan ,run out (van Lingen/†Green),0,0,0,0,-
Namibia vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera ,c Erasmus b Wiese,8,15,0,0,53.33
Namibia vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana ,not out ,11,11,0,1,100.00
United Arab Emirates vs Netherlands,United Arab Emirates,1,Chirag Suri ,c †Edwards b van der Merwe,12,20,1,0,60.00
United Arab Emirates vs Netherlands,United Arab Emirates,2,Muhammad Waseem ,c Pringle b Klaassen,41,47,1,2,87.23
United Arab Emirates vs Netherlands,United Arab Emirates,3,Kashif Daud , b Pringle,15,14,0,1,107.14
United Arab Emirates vs Netherlands,United Arab Emirates,4,Vriitya Aravind †,c Klaassen b de Leede,18,21,0,0,85.71
United Arab Emirates vs Netherlands,United Arab Emirates,5,Zawar Farid ,run out (Ackermann/†Edwards),2,4,0,0,50.00
United Arab Emirates vs Netherlands,United Arab Emirates,6,Basil Hameed ,c van der Merwe b de Leede,4,4,1,0,100.00
United Arab Emirates vs Netherlands,United Arab Emirates,7,Chundangapoyil Rizwan (c), b de Leede,1,2,0,0,50.00
United Arab Emirates vs Netherlands,United Arab Emirates,8,Aayan Afzal Khan ,c Cooper b Klaassen,5,7,0,0,71.42
United Arab Emirates vs Netherlands,United Arab Emirates,9,Karthik Meiyappan ,not out ,0,0,0,0,-
United Arab Emirates vs Netherlands,United Arab Emirates,10,Junaid Siddique ,not out ,0,1,0,0,0.00
United Arab Emirates vs Netherlands,Netherlands,1,Vikramjit Singh , b Basil Hameed,10,7,2,0,142.85
United Arab Emirates vs Netherlands,Netherlands,2,Max O'Dowd , b Junaid Siddique,23,18,3,1,127.77
United Arab Emirates vs Netherlands,Netherlands,3,Bas de Leede ,c Rizwan b Meiyappan,14,18,1,0,77.77
United Arab Emirates vs Netherlands,Netherlands,4,Colin Ackermann ,c Junaid Siddique b Aayan Afzal Khan,17,19,1,0,89.47
United Arab Emirates vs Netherlands,Netherlands,5,Tom Cooper ,lbw b Junaid Siddique,8,16,0,0,50.00
United Arab Emirates vs Netherlands,Netherlands,6,Scott Edwards (c)†,not out ,16,19,0,0,84.21
United Arab Emirates vs Netherlands,Netherlands,7,Roelof van der Merwe , b Junaid Siddique,0,2,0,0,0.00
United Arab Emirates vs Netherlands,Netherlands,8,Tim Pringle , b Zahoor Khan,15,16,0,0,93.75
United Arab Emirates vs Netherlands,Netherlands,9,Logan van Beek ,not out ,4,4,0,0,100.00
Scotland vs West Indies,Scotland,1,George Munsey ,not out ,66,53,9,0,124.52
Scotland vs West Indies,Scotland,2,Michael Jones , b Holder,20,17,3,0,117.64
Scotland vs West Indies,Scotland,3,Matthew Cross †,c Brooks b Holder,3,5,0,0,60.00
Scotland vs West Indies,Scotland,4,Richie Berrington (c),c Mayers b Joseph,16,14,0,1,114.28
Scotland vs West Indies,Scotland,5,Calum MacLeod ,c King b Smith,23,14,4,0,164.28
Scotland vs West Indies,Scotland,6,Michael Leask , b Joseph,4,6,0,0,66.66
Scotland vs West Indies,Scotland,7,Chris Greaves ,not out ,16,11,2,0,145.45
Scotland vs West Indies,West Indies,1,Kyle Mayers ,c Munsey b Davey,20,13,3,1,153.84
Scotland vs West Indies,West Indies,2,Evin Lewis ,c Jones b Wheal,14,13,1,1,107.69
Scotland vs West Indies,West Indies,3,Brandon King , b Watt,17,15,3,0,113.33
Scotland vs West Indies,West Indies,4,Nicholas Pooran (c)†, b Leask,5,9,0,0,55.55
Scotland vs West Indies,West Indies,5,Shamarh Brooks ,c Leask b Wheal,4,9,0,0,44.44
Scotland vs West Indies,West Indies,6,Rovman Powell ,c MacLeod b Leask,5,6,0,0,83.33
Scotland vs West Indies,West Indies,7,Jason Holder ,c Greaves b Sharif,38,33,4,1,115.15
Scotland vs West Indies,West Indies,8,Akeal Hosein ,run out (†Cross/Leask),1,1,0,0,100.00
Scotland vs West Indies,West Indies,9,Alzarri Joseph ,c †Cross b Watt,0,1,0,0,0.00
Scotland vs West Indies,West Indies,10,Odean Smith ,c Greaves b Watt,5,8,0,0,62.50
Scotland vs West Indies,West Indies,11,Obed McCoy ,not out ,2,3,0,0,66.66
Zimbabwe vs Ireland,Zimbabwe,1,Regis Chakabva †,c †Tucker b Little,0,2,0,0,0.00
Zimbabwe vs Ireland,Zimbabwe,2,Craig Ervine (c),st †Tucker b Simi Singh,9,12,1,0,75.00
Zimbabwe vs Ireland,Zimbabwe,3,Wessly Madhevere ,c Delany b Little,22,19,4,0,115.78
Zimbabwe vs Ireland,Zimbabwe,4,Sean Williams ,c Tector b Simi Singh,12,11,0,1,109.09
Zimbabwe vs Ireland,Zimbabwe,5,Sikandar Raza , b Adair,82,48,5,5,170.83
Zimbabwe vs Ireland,Zimbabwe,6,Milton Shumba ,c Little b Adair,16,14,1,0,114.28
Zimbabwe vs Ireland,Zimbabwe,7,Ryan Burl ,c Adair b Little,1,4,0,0,25.00
Zimbabwe vs Ireland,Zimbabwe,8,Luke Jongwe ,not out ,20,10,3,0,200.00
Zimbabwe vs Ireland,Ireland,1,Paul Stirling , b Ngarava,0,2,0,0,0.00
Zimbabwe vs Ireland,Ireland,2,Andy Balbirnie (c),c Ervine b Muzarabani,3,4,0,0,75.00
Zimbabwe vs Ireland,Ireland,3,Lorcan Tucker †, b Ngarava,11,11,2,0,100.00
Zimbabwe vs Ireland,Ireland,4,Harry Tector ,c Ervine b Muzarabani,1,4,0,0,25.00
Zimbabwe vs Ireland,Ireland,5,Curtis Campher , b Williams,27,22,1,0,122.72
Zimbabwe vs Ireland,Ireland,6,George Dockrell , b Sikandar Raza,24,20,3,0,120.00
Zimbabwe vs Ireland,Ireland,7,Gareth Delany ,c Shumba b Chatara,24,20,1,1,120.00
Zimbabwe vs Ireland,Ireland,8,Mark Adair ,c Sikandar Raza b Muzarabani,9,10,0,1,90.00
Zimbabwe vs Ireland,Ireland,9,Simi Singh , b Chatara,0,1,0,0,0.00
Zimbabwe vs Ireland,Ireland,10,Barry McCarthy ,not out ,22,16,1,2,137.50
Zimbabwe vs Ireland,Ireland,11,Josh Little ,not out ,7,11,1,0,63.63
Namibia vs Netherlands,Namibia,1,Michael van Lingen ,c de Leede b Ackermann,20,19,3,0,105.26
Namibia vs Netherlands,Namibia,2,Divan la Cock ,c de Leede b Pringle,0,2,0,0,0.00
Namibia vs Netherlands,Namibia,3,Stephan Baard ,c Klaassen b van der Merwe,19,22,0,0,86.36
Namibia vs Netherlands,Namibia,4,Jan Nicol Loftie-Eaton ,c †Edwards b van Meekeren,0,2,0,0,0.00
Namibia vs Netherlands,Namibia,5,Jan Frylinck ,c van Meekeren b de Leede,43,48,1,1,89.58
Namibia vs Netherlands,Namibia,6,Gerhard Erasmus (c), b de Leede,16,18,0,0,88.88
Namibia vs Netherlands,Namibia,7,David Wiese ,not out ,11,5,1,0,220.00
Namibia vs Netherlands,Namibia,8,JJ Smit ,not out ,5,4,1,0,125.00
