Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role,Description
Mohammad Nabi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRldKjdijna6welTPAoknhxG_aFJrAFV4s8ZtRzd2eQYjCAk0-wC44-GRq87w&s,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Azmatullah Omarzai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBnB9mNej6TWeBBYdyWBrESgYgf4oH0gtjSnkUBE3sUXGcC7cJpycvjoT61g&s,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
Darwish Rasooli,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAQBaKHKrpP2BnuAr82MD6ZhGwsxb9rIYP8ZqMEHZuavvUxahjF4eoKrYgLg&s,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Fareed Ahmad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOyVqsKdgiOfxujAjXgsGTITzAJLeSYnE1bYDPjNEQeQdYqmcZGhTkR5U9ew&s,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,
Fazalhaq Farooqi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdLfgEx5abAe_QHJNjKSnsLpja1sYO4gX3vAj7K0vZ8VH0EY3S9GRdECSS1zU&s,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,
Gulbadin Naib,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsUd0zh_Z91tomv0FpWVWzK1sCqR0QLi8U1DIAL-SoN5sw1_cDPZq8ffJdbE4&s,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in the sporting world was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Ibrahim Zadran,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO3gQIn0P1gwDWs5yOc_nF5eEnZTQ96xIKnEF_6wG4AWDb65toC90bUX2bJM8&s,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,
Mohammad Saleem,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy8Jjx1GrwnFuo1SiY53nnnIQCbWsth9FlpfhufRd1j45TLdUOZ9HxCh8H8JQ&s,Afghanistan,Right hand Bat,Right arm Fast,Bowler,
Mujeeb Ur Rahman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8bY9hFGLvK3HrLA9OsXXz8kQBQtrfIL0oK2mstdF862XQyi1x2ojMGhfrkW0&s,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"He can bowl traditional offspin and mix it up with legspin and ripping googlies to make what Afghanistan coach Andy Moles terms a ""complete package"". At just 16, Mujeeb wants to follow in the footsteps of Rashid Khan, his senior by two years. There's plenty of hype surrounding him too, supported by the weight of his performances. "
Najibullah Zadran,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDeXD-pdetYw3_UAoZUDC-r1JQHBHmgiEW-35wMHS1hSbd1zuoJyBjEAljvA&s,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
