Team,Flag
Afghanistan,https://cdn.britannica.com/40/5340-004-B25ED5CF/Flag-Afghanistan.jpg
Australia,https://cdn.britannica.com/78/6078-004-77AF7322/Flag-Australia.jpg
Bangladesh,https://cdn.britannica.com/67/6267-004-10A21DF0/Flag-Bangladesh.jpg
England,https://cdn.britannica.com/44/344-004-494CC2E8/Flag-England.jpg
India,https://cdn.britannica.com/97/1597-004-05816F4E/Flag-India.jpg
Ireland,https://cdn.britannica.com/33/1733-004-5BA407D6/FLAG-Ireland.jpg
Namibia,https://cdn.britannica.com/25/4225-004-E2FF6664/Flag-Namibia.jpg
Netherlands,https://cdn.britannica.com/82/2982-004-84A2A71E/flag-prototype-Netherlands-countries-European-flags.jpg
New Zealand,https://cdn.britannica.com/17/3017-004-DCC13F9D/Flag-New-Zealand.jpg
Pakistan,https://cdn.britannica.com/46/3346-004-D3BDE016/flag-symbolism-Pakistan-design-Islamic.jpg
Scotland,https://cdn.britannica.com/40/3940-050-2FDF254B/flag-Scotland-cross-Saint-Andrew.jpg?w=400&h=235&c=crop
South Africa,https://cdn.britannica.com/27/4227-004-32423B42/Flag-South-Africa.jpg
Sri Lanka,https://cdn.britannica.com/13/4413-004-3277D2EF/Flag-Sri-Lanka.jpg
United Arab Emirates,https://cdn.britannica.com/82/5782-050-8A763A9A/Flag-United-Arab-Emirates.jpg?w=400&h=235&c=crop
West Indies,https://upload.wikimedia.org/wikipedia/en/6/65/West_indies_cricket_board_flag.png
Zimbabwe,https://cdn.britannica.com/33/4233-004-30998E1D/Flag-Zimbabwe.jpg
