Name,Mat,Inns,NO,Runs,HS,Ave,SR,100s,50s,4s,6s
Mohammad Nabi,104.0,96.0,16.0,1686.0,89.0,21.07,140.03,0.0,4.0,114.0,89.0
Azmatullah Omarzai,16,10,3,94,20,13.42,96.9,0,0,7,2
Darwish Rasooli,5,5,2,49,15,16.33,87.5,0,0,3,1
Fareed Ahmad,22,3,3,27,24*,-,112.5,0,0,4,0
Fazalhaq Farooqi,17,2,1,0,0*,0.0,0.0,0,0,0,0
Gulbadin Naib,55,45,13,615,56*,19.21,120.82,0,1,45,27
Ibrahim Zadran,16,16,3,381,64*,29.3,105.54,0,1,30,10
Mohammad Saleem,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut
Mujeeb Ur Rahman,36,9,5,32,18,8.0,103.22,0,0,4,1
Najibullah Zadran,86,76,25,1590,73,31.17,141.96,0,8,101,88
Naveen-ul-Haq,22,5,4,18,10*,18.0,85.71,0,0,2,0
Qais Ahmad,2,2,1,8,8,8.00,88.88,0,0,1,0
Rahmanullah Gurbaz,35,35,0,896,87,25.6,138.27,0,5,70,55
Rashid Khan,74,41,18,328,48*,14.26,127.62,0,0,20,20
Usman Ghani,33.0,32.0,3.0,764.0,73.0,26.34,108.06,0.0,4.0,74.0,21.0
Hazratullah Zazai,34,34,3,967,162*,31.19,136.58,1,3,94,56
Aaron Finch,103,103,12,3120,172,34.28,142.53,2,19,309,125
Pat Cummins,50,23,11,116,21,9.66,123.4,0,0,6,6
Ashton Agar,47,28,5,277,29,12.04,101.46,0,0,19,9
Tim David,25,23,3,740,92*,37.0,159.48,0,5,64,36
Cameron Green,8,8,0,139,61,17.37,173.75,0,2,17,8
Josh Hazlewood,41,7,5,22,13*,11.0,157.14,0,0,2,1
Mitchell Marsh,46,44,7,1086,77*,29.35,127.01,0,6,86,45
Glenn Maxwell,98,90,14,2159,145*,28.4,150.97,3,10,176,106
Kane Richardson,35,7,3,17,9,4.25,100.0,0,0,0,0
Steven Smith,63.0,51.0,11.0,1008.0,90.0,25.2,125.21,0.0,4.0,85.0,24.0
Mitchell Starc,58,19,9,94,14,9.4,101.07,0,0,4,2
Marcus Stoinis,51,42,15,803,78,29.74,147.33,0,2,69,35
Matthew Wade,75,57,16,1018,80,24.82,132.03,0,3,81,38
David Warner,99,99,11,2894,100*,32.88,141.3,1,24,295,105
Adam Zampa,72,16,8,48,13*,6.0,82.75,0,0,4,0
Josh Inglis,9,9,1,220,48,27.5,141.02,0,0,24,3
Shakib Al Hasan,109,108,11,2243,84,23.12,121.76,0,12,225.0,47.0
Afif Hossain,60,55,8,1003,77*,21.34,120.55,0,3,72,33
Ebadot Hossain,4,-,-,-,-,-,-,-,-,-,-
Hasan Mahmud,10,5,3,5,3,2.5,50.0,0,0,0,0
Litton Das,65,64,1,1388,69,22.03,128.87,0,8,137,43
Mehidy Hasan Miraz,19,17,2,216,46,14.4,116.12,0,0,17,7
Mosaddek Hossain,33,31,10,389,48*,18.52,114.07,0,0,26,11
Mustafizur Rahman,78,24,9,68,15,4.53,76.4,0,0,3,4
Najmul Hossain Shanto,17,17,1,384,71,24.0,108.16,0,2,40,3
Nasum Ahmed,28,14,9,51,19*,10.20,100.0,0,0,3,2
Nurul Hasan,46,41,14,445,42*,16.48,118.35,0,0,27,16
Shoriful Islam,29,10,5,15,6,3.0,88.23,0,0,2,1
Soumya Sarkar,72,72,3,1212,68,17.56,122.42,0,5,119,46
Taskin Ahmed,46,22,10,107,15*,8.91,89.91,0,0,8,4
Yasir Ali,10,10,3,94,42*,13.42,127.02,0,0,9,3
Jos Buttler,103,95,20,2602,101*,34.69,144.23,1,19,233,108
Moeen Ali,71,61,15,1044,72*,22.69,145.81,0,7,82.0,55.0
Harry Brook,20,17,3,372,81*,26.57,137.77,0,1,30,15
Sam Curran,35,21,8,158,24,12.15,130.57,0,0,8,9
Alex Hales,75,75,8,2074,116*,30.95,138.35,1,12,225,70
Chris Jordan,84,50,22,422,36,15.07,136.56,0,0,30.0,21.0
Liam Livingstone,29,24,5,423,103,22.26,147.9,1,0,25,25
Dawid Malan,55,53,8,1748,103*,38.84,135.71,1,14,178,58
Tymal Mills,13,4,2,8,7,4.0,72.72,0,0,0,1
Adil Rashid,92,29,15,91,22,6.5,85.84,0,0,7.0,0.0
Phil Salt,13,12,1,245,88*,22.27,161.18,0,2,28,9
Ben Stokes,43,36,9,585,52*,21.66,128.0,0,1,42.0,22.0
David Willey,43,26,11,226,33*,15.06,130.63,0,0,15,13
Chris Woakes,26,11,6,126,37,25.2,146.51,0,0,7.0,7.0
Mark Wood,27,3,3,11,5*,-,84.61,0,0,1,0
Jonny Bairstow,66,60,12,1337,90,27.85,136.42,0,8,120.0,57.0
Reece Topley,22,7,5,13,9,6.5,81.25,0,0,1,0
Rohit Sharma,148,140,17,3853,118,31.32,139.24,4,29,348.0,182.0
KL Rahul,72,68,8,2265,110*,37.75,139.12,2,22,191,99
Arshdeep Singh,21,4,4,6,2*,-,150.0,0,0,0,0
Ravichandran Ashwin,65,19,12,184,31*,26.28,114.99,0,0,17,4
Yuzvendra Chahal,71,4,2,5,3*,2.5,45.45,0,0,0,0
Deepak Hooda,15,12,3,302,104,33.55,150.24,1,0,27,13
Dinesh Karthik,60,48,22,686,55,26.38,142.61,0,1,71.0,28.0
Virat Kohli,115,107,31,4008,122*,52.73,137.96,1,37,356,117
Bhuvneshwar Kumar,87,21,13,67,16,8.37,71.27,0,0,0.0,0.0
Mohammed Shami,23,3,2,0,0*,0.0,0.0,0,0,0,0
Hardik Pandya,81,61,16,1160,71*,25.77,146.09,0,3,81,62
Rishabh Pant,66,56,12,987,65*,22.43,126.37,0,3,86,37
Axar Patel,37,22,10,171,20*,14.25,132.55,0,0,14,6
Harshal Patel,24,10,4,77,18,12.83,135.08,0,0,9,3
Suryakumar Yadav,42,40,8,1408,117,44.0,180.97,2,12,131,80
Jasprit Bumrah,60,7,5,8,7,4.0,61.53,0,0,1,0
Andy Balbirnie,86,82,4,1810,83,23.2,125.86,0,8,193,48
Paul Stirling,121,120,9,3181,115*,28.65,134.78,1,21,360,117
Mark Adair,58.0,42.0,10.0,406.0,38.0,12.68,117.68,0.0,0.0,26.0,17.0
Curtis Campher,28,24,4,391,72*,19.55,126.12,0,1,33,8
Gareth Delany,56,50,8,802,89*,19.09,130.83,0,3,65,32
George Dockrell,112,67,27,795,58*,19.87,129.26,0,1,58,27
Stephen Doheny,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut
Fionn Hand,5,5,0,48,36,9.60,160.00,0,0,6,2
Graham Hume,1,1,0,1,1,1.00,100.0,0,0,0,0
Josh Little,53,25,14,86,15*,7.81,78.89,0,0,7,2
Barry McCarthy,35,22,9,187,32,14.38,119.1,0,0,13,9
Conor Olphert,2,-,-,-,-,-,-,-,-,-,-
Simi Singh,53,40,11,296,57*,10.2,108.42,0,1,18,8
Harry Tector,51,47,9,836,64*,22.0,125.14,0,3,63,21
Lorcan Tucker,49.0,45.0,5.0,875.0,84.0,21.87,122.72,0.0,5.0,80.0,21.0
Craig Young,53,19,8,65,22,5.9,78.31,0,0,5,2
Gerhard Erasmus,41,39,9,979,100*,32.63,127.97,1,7,75,36
Stephan Baard,28.0,28.0,3.0,714.0,92.0,28.56,112.97,0.0,5.0,61.0,18.0
Karl Birkenstock,9.0,4.0,1.0,81.0,59.0,27.0,180.0,0.0,1.0,9.0,4.0
Jan Frylinck,38,21,9,241,44,20.08,103.87,0,0,11,4
Zane Green,35.0,26.0,4.0,245.0,26.0,11.13,92.45,0.0,0.0,18.0,4.0
Divan la Cock,5.0,5.0,0.0,98.0,66.0,19.6,116.66,0.0,1.0,8.0,5.0
Jan Nicol Loftie-Eaton,22,17,2,165,28,11.0,98.8,0,0,14,3
Lo-handre Louwrens,1,1,1,17,17*,-,113.33,0,0,1,1
Tangeni Lungameni,15,1,1,2,2*,-,100.0,0,0,0,0
Bernard Scholtz,38,10,8,23,6*,11.5,58.97,0,0,1,0
Ben Shikongo,22,1,0,0,0,0.00,0.0,0,0,0,0
JJ Smit,32.0,27.0,10.0,564.0,71.0,33.17,147.64,0.0,2.0,32.0,34.0
Ruben Trumpelmann,19,10,7,88,25*,29.33,125.71,0,0,6,4
Michael van Lingen,13.0,10.0,0.0,168.0,51.0,16.8,103.7,0.0,1.0,18.0,3.0
David Wiese,39,30,10,453,66*,22.65,125.83,0,2,28,18
Pikky Ya France,18,10,3,32,13,4.57,86.48,0,0,2,1
Scott Edwards,51,44,15,614,42*,21.17,121.1,0,0,56,11
Colin Ackermann,22,22,4,465,62,25.83,115.67,0,1,34,11
Tom Cooper,33,32,4,659,81*,23.53,129.46,0,3,62,22
Bas de Leede,31,28,8,610,91*,30.5,105.9,0,4,45,18
Brandon Glover,24,6,3,2,1*,0.66,18.18,0,0,0,0
