Name,Mat,Inns,Balls,Runs,Wkts,BBM,Ave,Econ,SR,4w,5w
Mohammad Nabi,104,100,1948,2375,84,4/10,28.27,7.31,23.1,3,0
Azmatullah Omarzai,16,15,187,270,6,3/22,45.0,8.66,31.1,0,0
Darwish Rasooli,5,-,-,-,-,-,-,-,-,-,-
Fareed Ahmad,22,22,423,621,30,3/14,20.7,8.8,14.1,0,0
Fazalhaq Farooqi,17,17,382,431,21,3/11,20.52,6.76,18.1,0,0
Gulbadin Naib,55,36,529,731,20,2/19,36.55,8.29,26.4,0,0
Ibrahim Zadran,16,-,-,-,-,-,-,-,-,-,-
Mohammad Saleem,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut,Debut
Mujeeb Ur Rahman,36,36,804,834,49,5/20,17.02,6.22,16.4,1,1
Najibullah Zadran,86,-,-,-,-,-,-,-,-,-,-
Naveen-ul-Haq,22,22,431,566,31,3/21,18.25,7.87,13.9,0,0
Qais Ahmad,2,2,36,46,4,3/25,11.5,7.66,9.0,0,0
Rahmanullah Gurbaz,35,-,-,-,-,-,-,-,-,-,-
Rashid Khan,74,74,1682,1754,122,5/3,14.37,6.25,13.7,4,2
Usman Ghani,33,-,-,-,-,-,-,-,-,-,-
Hazratullah Zazai,34,-,-,-,-,-,-,-,-,-,-
Aaron Finch,103,2,12,27,0,-,-,13.5,-,0,0
Pat Cummins,50,50,1098,1350,55,3/15,24.54,7.37,19.9,0,0
Ashton Agar,47,47,994,1073,48,6/30,22.35,6.47,20.7,0,2
Tim David,25,11,164,255,5,1/18,51.0,9.32,32.8,0,0
Cameron Green,8,7,120,178,5,2/16,35.6,8.9,24.0,0,0
Josh Hazlewood,41,41,922,1181,58,4/12,20.36,7.68,15.8,4,0
Mitchell Marsh,46,23,264,348,15,3/24,23.2,7.9,17.6,0,0
Glenn Maxwell,98,66,865,1076,39,3/10,27.58,7.46,22.1,0,0
Kane Richardson,35,35,738,1025,44,4/30,23.29,8.33,16.7,1,0
Steven Smith,63,17,291,377,17,3/20,22.17,7.77,17.1,0,0
Mitchell Starc,58,58,1314,1673,73,4/20,22.91,7.63,18.0,1,0
Marcus Stoinis,51,29,428,614,18,3/34,34.11,8.6,23.7,0,0
Matthew Wade,75,-,-,-,-,-,-,-,-,-,-
David Warner,99,-,-,-,-,-,-,-,-,-,-
Adam Zampa,72,71,1541,1781,82,5/19,21.71,6.93,18.7,0,1
Josh Inglis,9,-,-,-,-,-,-,-,-,-,-
Shakib Al Hasan,109,107.0,2385,2716,128,5/20,21.21,6.83,18.6,5,1
Afif Hossain,60,17,150,209,9,2/9,23.22,8.36,16.6,0,0
Ebadot Hossain,4,4,91,140,7,3/51,20.0,9.23,13.0,0,0
Hasan Mahmud,10,10,240,308,13,3/47,23.69,7.7,18.4,0,0
Litton Das,65,-,-,-,-,-,-,-,-,-,-
Mehidy Hasan Miraz,19,19,294,426,8,3/17,53.25,8.69,36.7,0,0
Mosaddek Hossain,33,26,331,398,18,5/20,22.11,7.21,18.3,0,1
